,genre
1425,cumbia paraguaya
1426,nottingham hip hop
1427,free jazz
1428,shanty
1429,mariachi cristiano
1430,thai rock
1431,musica costena
1432,jangle pop
1433,austrian pop
1434,french romanticism
1435,pop chileno
1436,neo r&b
1437,underground rap
1438,north carolina roots
1439,sound team
1440,christian metalcore
1441,north east england indie
1442,folk rock italiano
1443,classic polish pop
1444,magyar trap
1445,experimental r&b
1446,future rock
1447,drone
1448,electro jazz
1449,yugoslav rock
1450,classic garage rock
1451,canadian americana
1452,polish viral rap
1453,samba de roda
1454,mexican pop punk
1455,mexican classic rock
1456,folktronica
1457,folk metal
1458,belgian rock
1459,russian plugg
1460,gothic rock
1461,taiwan hip hop
1462,early us punk
1463,sandalwood
1464,norwegian hip hop
1465,sky room
1466,alternative americana
1467,doom metal
1468,rave
1469,uk pop punk
1470,latinx alternative
1471,tropical alternativo
1472,kizomba
1473,antideutsche
1474,musica para criancas
1475,brazilian punk
1476,viking metal
1477,celtic metal
1478,punk urbano
1479,pop quebecois
1480,umbanda
1481,frenchcore
1482,bay area indie
1483,rune folk
1484,kansas city hip hop
1485,pinoy alternative rap
1486,idol
1487,zhenskiy rep
1488,gabba
1489,japanese instrumental
1490,pink noise
1491,dark techno
1492,kosovan pop
1493,jump up
1494,karadeniz pop
1495,jazz trio
1496,narodna muzika
1497,bulgarian pop
1498,italian romanticism
1499,hungarian hip hop
1500,filthstep
1501,ska revival
1502,music box
1503,kabarett
1504,fotbollslatar
1505,celtic punk
1506,louvor
1507,texas metal
1508,classic arab pop
1509,ectofolk
1510,hungarian rock
1511,amapiano
1512,turkish edm
1513,garage psych
1514,kazakh hip hop
1515,brega funk
1516,neomelodici
1517,deutschrock
1518,kurdish pop
1519,horror punk
1520,romantico
1521,british alternative rock
1522,qawwali
1523,rap boricua
1524,drill chileno
1525,muziek voor kinderen
1526,dark post-punk
1527,egyptian trap
1528,swedish soul
1529,chill guitar
1530,maga rap
1531,piano blues
1532,spectra
1533,rock andaluz
1534,musica andina
1535,freestyle
1536,digital hardcore
1537,naija worship
1538,comedy
1539,icelandic experimental
1540,gujarati garba
1541,gothenburg metal
1542,canadian folk
1543,hip hop quebecois
1544,children's folk
1545,ska chileno
1546,hardwave
1547,chicago blues
1548,thai hip hop
1549,german trance
1550,post-minimalism
1551,japanese alternative pop
1552,new jersey hardcore
1553,trap antillais
1554,cologne indie
1555,modern indie folk
1556,slc indie
1557,american folk revival
1558,native american
1559,auckland indie
1560,classic disco polo
1561,study beats
1562,croatian pop
1563,korean old school hip hop
1564,swedish country
1565,magyar alternative
1566,japanese vtuber
1567,shush
1568,korean instrumental
1569,metallic hardcore
1570,vietnamese melodic rap
1571,banjo
1572,south african hip hop
1573,chill lounge
1574,texas blues
1575,nuevo flamenco
1576,classic malaysian pop
1577,city pop
1578,italian lounge
1579,spanish modern rock
1580,funk das antigas
1581,ann arbor indie
1582,nepali pop
1583,swancore
1584,south african house
1585,oc rap
1586,texas pop punk
1587,japanese viral pop
1588,puerto rican rock
1589,rap catala
1590,musica aragonesa
1591,acoustic rock
1592,chamame
1593,bandinhas
1594,viking folk
1595,slovak pop
1596,australian indie rock
1597,scandinavian r&b
1598,hard alternative
1599,guaracha
1600,rap uliczny
1601,huzunlu sarkilar
1602,german r&b
1603,nordic house
